"","Prot","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1362","EIF1",1.48947467872656,16.7859054534643,9.7056040917617,3.2978361164195e-11,5.67612960767678e-10,15.0419445039003
"819","PUF60",-1.31393164171968,15.9157796143515,-9.67466935997414,3.56856857231998e-11,6.01048906680751e-10,15.0158861943477
"631","SLC25A11",1.48697563151941,16.8858916720674,9.69322602381035,3.40355794146204e-11,5.77380548630755e-10,14.9928321371624
"895","RPS6",1.45851961960199,15.5274695393146,9.65602702807519,3.74256715144644e-11,6.22476088850002e-10,14.9401007720596
"683","DNAJB11",-1.06729501084243,16.9463381541325,-9.65539832643374,3.74858374116626e-11,6.22476088850002e-10,14.9255678921166
"1631","ATXN2L",7.20156279651931,11.0247738791374,9.50834066187792,5.46590970195809e-11,8.70852370082241e-10,14.9048007636858
"2313","LSM1",-1.76218215394298,12.5336414830687,-9.60030124375927,4.31609561738847e-11,7.01886445917381e-10,14.8213216102316
"2652","GRPEL1",1.60336053339684,16.5401788991669,9.60522711427704,4.26197011168118e-11,6.97897605787793e-10,14.7889352489092
"2653","TAPBP",1.60336053339684,16.5401788991669,9.60522711427704,4.26197011168118e-11,6.97897605787793e-10,14.7889352489092
"755","SLC25A3",0.923699222045872,19.2387050400521,9.54460717148448,4.97913474564337e-11,8.04164365084045e-10,14.6223575221832
"542","PSMA1",1.00443588174123,17.2511511902445,9.52042864991748,5.29849131709645e-11,8.49921260252614e-10,14.5806291493398
"1197","HNRNPDL",-0.811991908655116,16.9137675102456,-9.4909918619474,5.71566795810561e-11,9.04533224510941e-10,14.5136379210049
"1727","BID",1.7028756726147,14.7601769997174,9.45859698270918,6.21364340022285e-11,9.70315969385794e-10,14.4422266975559
"256","SYNCRIP",-0.672281177629436,18.0078791955914,-9.46679739345665,6.08354835319794e-11,9.56333801122716e-10,14.4327574428288
"563","ERP44",-0.816846254171671,17.3061392228643,-9.44486055490502,6.43795451877308e-11,9.98730049688613e-10,14.3944584296461
"932","H2AC11",1.76478274448612,16.3702651172989,9.42778062593728,6.72842251017419e-11,1.03696864568567e-09,14.3765096815111
"1375","NEK7",-1.64238757458087,16.5918635203385,-9.40432913772345,7.14916205992016e-11,1.09465741151245e-09,14.2845174489783
"206","YWHAE",-1.07453839319159,19.503194584509,-9.36237482662413,7.96999989973143e-11,1.21246837184301e-09,14.1362628389402
"205","RTN4",-0.838649633972768,19.9311486648353,-9.34365840365612,8.36659206159355e-11,1.2646425693101e-09,14.1133539315768
"804","FAF2",-1.17069472722067,15.3346721739518,-9.32969329480681,8.67556760461529e-11,1.29474610200524e-09,14.0951093407042
"1983","CLCC1",2.09826265763614,12.8430185021211,9.30455107705426,9.26147644241342e-11,1.35643238827397e-09,14.0604637853575
"447","PARK7",-1.33829129302546,18.8009744101912,-9.3303488929922,8.66080564045699e-11,1.29474610200524e-09,14.0575417097828
"2794","TOP2B",-0.793600684859179,14.4362499998932,-9.3064855067598,9.21499767146701e-11,1.35643238827397e-09,14.0163165438508
"436","RPS3A",-0.663635958888898,18.4491238861123,-9.3008579226246,9.35087702085805e-11,1.36107209970267e-09,14.0152758575702
"1065","EIF6",-2.00689971897273,16.4230858064193,-9.31180977050156,9.08829489812523e-11,1.34781128111819e-09,14.0104747241846
"1009","FAP",2.2999531166962,15.7716686363874,9.26703563767059,1.02116763392506e-10,1.47724741153086e-09,13.9228512454574
"1464","MGARP",-1.85277881041422,15.6060924062635,-9.26408368097168,1.02905374807383e-10,1.47957849875494e-09,13.9195341738953
"1909","SERPINB9",1.01170518273727,17.1541923464531,9.25074614043599,1.06546605167487e-10,1.52264784839354e-09,13.8789856295341
